2024;ING Esp;ING Bel;Revolut Corriente;Revolut Ahorro;MyInvestor (Corriente);Trade Republic (Corriente);Remuneración Global
Noviembre;321,86;0;645;2182;0;0;-
Diciembre;882,96;99,85;382,79;3587,47;0;0;-
2025;;;;;;;
Enero ;785,98;100;537,55;4493,22;0;0;-
Febrero;914,39;112;628,54;5100,72;0;0;-
Marzo;882,62;114;568,77;6108,82;0;0;-
Abril;421,21;86;1499,02;616,08;631,7;5020;7,82
Mayo;373,88;114;1336,39;116,99;653,39;5029,98;10,35
Junio;380,25;158,99;1179,4;117,09;704,52;5530;9,61
Julio;360,27;158,99;686,04;0;3611,28;3808,77;10,13
Agosto;360,09;158,99;890,63;0;3734,43;3919,51;11,79
Septiembre;400,31;158,99;1000;0;4655,95;4026,05;12,3
Octubre;400,33;160,8;1095,09;0;4645,62;4032,56;13,64
Noviembre;150,35;200;552,23;0;4962,67;4053,34;13,54
Diciembre;130,36;1679,99;512,92;0;600;8681,77;